ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Brule County, SD",13.799999999999999,5185,Brule County,South Dakota,SD,376.0
"Brunswick County, NC",156.3999999999999,136484,Brunswick County,North Carolina,NC,2731.0
"Brunswick County, VA",27.6,14299,Brunswick County,Virginia,VA,3466.0
"Bryan County, GA",36.800000000000004,38109,Bryan County,Georgia,GA,6746.0
"Bryan County, OK",55.20000000000001,46490,Bryan County,Oklahoma,OK,1418.0
"Buchanan County, IA",32.2,21145,Buchanan County,Iowa,IA,1638.0
"Buchanan County, MO",119.59999999999994,85443,Buchanan County,Missouri,MO,2814.0
"Buchanan County, VA",36.800000000000004,20321,Buchanan County,Virginia,VA,3466.0
"Buckingham County, VA",23.0,14917,Buckingham County,Virginia,VA,3466.0
"Bucks County, PA",662.4000000000018,625120,Bucks County,Pennsylvania,PA,8865.0
"Buena Vista County, IA",32.2,19223,Buena Vista County,Iowa,IA,1638.0
"Buena Vista city, VA",9.2,5820,Buena Vista city,Virginia,VA,3466.0
"Buffalo County, NE",55.20000000000001,47984,Buffalo County,Nebraska,NE,636.0
"Buffalo County, SD",9.2,2036,Buffalo County,South Dakota,SD,376.0
"Buffalo County, WI",27.6,13101,Buffalo County,Wisconsin,WI,1675.0
"Bullitt County, KY",87.39999999999998,80804,Bullitt County,Kentucky,KY,1492.0
"Bulloch County, GA",59.80000000000001,72125,Bulloch County,Georgia,GA,6746.0
"Bullock County, AL",18.4,8639,Bullock County,Alabama,AL,3770.0
"Buncombe County, NC",262.1999999999998,255419,Buncombe County,North Carolina,NC,2731.0
"Bureau County, IL",50.60000000000001,32971,Bureau County,Illinois,IL,8459.0
"Burke County, GA",32.2,22296,Burke County,Georgia,GA,6746.0
"Burke County, NC",87.39999999999998,88551,Burke County,North Carolina,NC,2731.0
"Burke County, ND",9.2,2100,Burke County,North Dakota,ND,375.0
"Burleigh County, ND",91.99999999999997,92564,Burleigh County,North Dakota,ND,375.0
"Burleson County, TX",27.6,18351,Burleson County,Texas,TX,17706.0
"Burlington County, NJ",529.0000000000011,437101,Burlington County,New Jersey,NJ,14511.0
"Burnet County, TX",41.400000000000006,46585,Burnet County,Texas,TX,17706.0
"Burnett County, WI",32.2,15332,Burnett County,Wisconsin,WI,1675.0
"Burt County, NE",18.4,6488,Burt County,Nebraska,NE,636.0
